school,state,school_id,district_id,schoolwide_title1,title1_eligible,title1_school_status,lat,long,national_school_lunch_program,total_enroll,two_or_more_race,hawaiin_pi,white,black,hispanic,aapi,native
7 PILLARS CAREER ACADEMY,GEORGIA,1.30123E+11,1301230,No,Yes,2-Title I targeted assistance school,33.638685,-84.371427,No,96,4,0,1,84,7,0,0
A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,1.30351E+11,1303510,Yes,Yes,5-Title I schoolwide school,33.9434,-84.5781,Yes participating without using any Provision or the CEO,406,17,0,129,170,83,7,0
AARON COHN MIDDLE SCHOOL,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.550143,-84.824682,Yes participating without using any Provision or the CEO,498,36,0,192,204,57,9,0
AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,32.52715,-84.85224,Yes participating without using any Provision or the CEO,17,0,1,2,14,0,0,0
ABBOTTS HILL ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0562,-84.1964,Yes participating without using any Provision or the CEO,574,6,0,224,92,68,183,1
ACADEMY FOR CLASSICAL EDUCATION,GEORGIA,1.30025E+11,1300252,Yes,Yes,5-Title I schoolwide school,32.939286,-83.727915,Yes participating without using any Provision or the CEO,1825,49,3,1279,280,64,149,1
ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.474,-82.0054,Yes under Community Eligibility Option (CEO),1043,34,11,195,742,50,7,4
ACWORTH INTERMEDIATE SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,34.0577,-84.6532,Yes participating without using any Provision or the CEO,565,46,1,152,215,137,13,1
ADAIRSVILLE ELEMENTARY SCHOOL,Georgia,1.30033E+11,1300330,Yes,Yes,5-Title I schoolwide school,34.369388,-84.93798,Yes participating without using any Provision or the CEO,769,48,0,587,59,70,5,0
ADAIRSVILLE HIGH SCHOOL,Georgia,1.30033E+11,1300330,,No,6-Not a Title I school,34.339757,-84.916887,Yes participating without using any Provision or the CEO,1026,44,0,831,51,90,8,2
ADAIRSVILLE MIDDLE SCHOOL,Georgia,1.30033E+11,1300330,Yes,Yes,5-Title I schoolwide school,34.334,-84.9157,Yes participating without using any Provision or the CEO,798,30,1,671,40,51,4,1
ADAMSON MIDDLE SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5897,-84.2862,Yes under Community Eligibility Option (CEO),568,9,1,7,406,124,18,3
ADDISON ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0253,-84.4917,Yes participating without using any Provision or the CEO,581,39,0,285,92,115,48,2
ALBANY MIDDLE SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.591506,-84.109484,Yes under Community Eligibility Option (CEO),997,19,0,31,917,29,0,1
ALCOVA ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9684,-83.8989,Yes participating without using any Provision or the CEO,1393,61,2,167,742,355,65,1
ALCOVY HIGH SCHOOL,Georgia,1.30393E+11,1303930,Yes,Yes,5-Title I schoolwide school,33.4583,-83.8438,Yes participating without using any Provision or the CEO,1905,84,4,558,1067,179,11,2
ALEXANDER HIGH SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.6845,-84.7869,Yes participating without using any Provision or the CEO,1931,110,2,1013,556,221,27,2
ALEXANDER II MAGNET SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.8328,-83.645,Yes under Community Eligibility Option (CEO),477,25,0,59,374,14,5,0
ALFORD ELEMENTARY,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.925424,-84.070805,Yes participating without using any Provision or the CEO,869,25,1,77,172,490,104,0
ALICE COACHMAN ELEMENTARY SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.5509,-84.1917,Yes under Community Eligibility Option (CEO),504,3,0,19,481,1,0,0
ALLATOONA ELEMENTARY SCHOOL,Georgia,1.30033E+11,1300330,Yes,Yes,5-Title I schoolwide school,34.117671,-84.669695,Yes participating without using any Provision or the CEO,398,23,0,189,19,164,3,0
ALLATOONA HIGH SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.03524,-84.735803,Yes participating without using any Provision or the CEO,1833,75,2,1124,339,225,61,7
ALLEN ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.5145,-84.9603,Yes under Community Eligibility Option (CEO),461,36,3,151,126,129,15,1
ALLGOOD ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7794,-84.2122,Yes under Community Eligibility Option (CEO),566,4,0,9,406,40,106,1
ALLGOOD ELEMENTARY SCHOOL,Georgia,1.30402E+11,1304020,Yes,Yes,5-Title I schoolwide school,33.8736,-84.8482,Yes participating without using any Provision or the CEO,822,63,1,349,294,104,10,1
ALLIANCE ACADEMY FOR INNOVATION,GEORGIA,1.30222E+11,1302220,,No,6-Not a Title I school,34.218795,-84.115626,Yes participating without using any Provision or the CEO,1044,27,0,515,28,107,365,2
ALPHARETTA ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0817,-84.3016,Yes participating without using any Provision or the CEO,495,32,0,262,62,81,58,0
ALPHARETTA HIGH SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0753,-84.2553,Yes participating without using any Provision or the CEO,2294,77,2,921,403,298,589,4
ALPS ROAD ELEMENTARY SCHOOL,Georgia,1.30117E+11,1301170,Yes,Yes,5-Title I schoolwide school,33.944,-83.4076,Yes under Community Eligibility Option (CEO),345,19,0,22,283,17,3,1
ALTAMA ELEMENTARY SCHOOL,Georgia,1.3024E+11,1302400,Yes,Yes,5-Title I schoolwide school,31.2097,-81.4831,No,497,30,4,68,287,101,5,2
ALTAMAHA ELEMENTARY SCHOOL,Georgia,1.30006E+11,1300060,Yes,Yes,5-Title I schoolwide school,31.8761,-82.3619,Yes under Community Eligibility Option (CEO),398,15,0,327,26,30,0,0
ALTERNATIVE EDUCATION CENTER AT LAMAR,GEORGIA,1.30438E+11,1304380,,No,6-Not a Title I school,33.471972,-82.003436,Yes under Community Eligibility Option (CEO),0,–,–,–,–,–,–,–
ALTO PARK ELEMENTARY SCHOOL,Georgia,1.30219E+11,1302190,Yes,Yes,5-Title I schoolwide school,34.2597,-85.234,Yes participating without using any Provision or the CEO,414,34,0,184,37,155,4,0
